round,selected_turn_id,max_entropy,min_confidence,select_turn_per_round_time
0,MUL1400-5,2573.483154296875,0,73395.242030859
0,MUL2286-1,2581.49951171875,0,73395.242030859
0,PMUL2742-4,2621.744140625,0,73395.242030859
0,PMUL1709-5,2574.989013671875,0,73395.242030859
0,PMUL4607-5,2639.990234375,0,73395.242030859
0,MUL1735-5,2588.61083984375,0,73395.242030859
0,SSNG0361-3,2612.193359375,0,73395.242030859
0,PMUL2044-8,2579.6064453125,0,73395.242030859
0,PMUL1514-1,2591.130859375,0,73395.242030859
0,MUL0742-2,2589.947509765625,0,73395.242030859
0,SNG0435-2,2570.42578125,0,73395.242030859
0,SNG01720-4,2584.6044921875,0,73395.242030859
0,MUL1305-2,2548.677978515625,0,73395.242030859
0,SNG0872-4,2594.118408203125,0,73395.242030859
0,PMUL1278-3,2584.81494140625,0,73395.242030859
0,PMUL3670-1,2570.114990234375,0,73395.242030859
0,MUL1339-5,2572.9521484375,0,73395.242030859
0,PMUL1448-4,2613.945068359375,0,73395.242030859
0,MUL0444-3,2611.0087890625,0,73395.242030859
0,PMUL1044-3,2553.554931640625,0,73395.242030859
0,PMUL3026-4,2585.351806640625,0,73395.242030859
0,PMUL3442-5,2627.421875,0,73395.242030859
0,PMUL3154-7,2644.01025390625,0,73395.242030859
