,dialogue_id,round_x,round_y,turn_idx_x,turn_idx_y,total_turns_y
320,PMUL3963,1,0,3,4,4
321,PMUL3967,4,1,4,3,6
322,PMUL4047,3,2,4,3,8
323,PMUL4081,2,0,7,6,7
324,PMUL4096,3,4,8,9,9
325,PMUL4105,0,1,4,10,10
326,PMUL4114,2,2,12,11,12
327,PMUL4117,1,4,1,6,6
328,PMUL4135,2,3,4,6,9
329,PMUL4182,2,0,6,7,7
330,PMUL4193,4,1,4,3,7
331,PMUL4238,2,4,1,3,4
332,PMUL4243,0,3,5,5,10
333,PMUL4251,2,3,2,5,9
334,PMUL4330,1,2,6,4,8
335,PMUL4342,3,0,4,1,4
336,PMUL4412,1,0,6,8,8
337,PMUL4475,2,1,3,7,9
338,PMUL4477,2,3,2,4,4
339,PMUL4494,4,3,1,3,3
340,PMUL4508,3,0,4,2,5
341,PMUL4528,1,3,3,5,7
342,PMUL4536,4,0,3,5,5
343,PMUL4563,4,0,11,10,13
344,PMUL4585,2,2,1,4,6
345,PMUL4653,3,1,5,3,7
346,PMUL4690,3,0,4,9,10
347,PMUL4727,0,1,10,10,10
348,PMUL4745,2,4,7,6,7
349,PMUL4774,3,3,7,6,7
350,PMUL4801,3,3,4,3,7
351,PMUL4822,3,2,5,6,8
352,PMUL4841,3,1,5,4,6
353,PMUL4887,0,4,1,5,5
354,PMUL4917,3,4,8,10,10
355,PMUL4945,1,3,2,4,6
356,PMUL4951,2,2,3,10,12
357,PMUL4954,2,4,6,6,7
358,PMUL4961,4,2,1,3,8
359,PMUL4991,4,4,7,9,9
360,PMUL4997,0,3,8,10,12
361,SNG0025,4,4,1,4,4
362,SNG0036,0,1,4,5,5
363,SNG01294,3,1,3,3,3
364,SNG01339,4,0,4,6,6
365,SNG01384,2,0,3,3,3
366,SNG01519,3,2,1,3,3
367,SNG01545,4,1,6,6,6
368,SNG01622,3,0,3,3,5
369,SNG01674,1,2,5,3,6
370,SNG01697,4,3,1,4,4
371,SNG01712,1,0,4,4,4
372,SNG01717,2,4,5,5,5
373,SNG01771,4,0,2,4,6
374,SNG01773,0,3,1,3,3
375,SNG01862,1,1,1,2,2
376,SNG02026,4,3,4,5,6
377,SNG02084,4,1,2,1,2
378,SNG02090,1,0,1,2,3
379,SNG02103,1,2,1,4,4
380,SNG02106,3,0,3,6,6
381,SNG02150,1,1,5,4,5
382,SNG02218,2,4,1,3,3
383,SNG02248,0,3,3,3,3
384,SNG02298,1,4,5,4,5
385,SNG0262,0,0,2,5,5
386,SNG0265,0,2,1,6,6
387,SNG0300,1,4,4,5,5
388,SNG0315,1,3,2,4,6
389,SNG0356,2,4,1,4,5
390,SNG0453,0,2,2,3,3
391,SNG0488,1,1,4,4,4
392,SNG0499,3,1,1,4,4
393,SNG0504,2,0,1,4,4
394,SNG0540,3,1,2,4,4
395,SNG0559,4,1,1,2,5
396,SNG0562,2,2,1,2,3
397,SNG0574,4,2,1,6,6
398,SNG0596,2,3,1,5,5
399,SNG0639,1,0,3,5,5
400,SNG0653,1,2,3,5,5
401,SNG0669,3,1,1,3,3
402,SNG0683,1,1,3,5,5
403,SNG0706,4,3,1,5,5
404,SNG0707,0,2,2,3,4
405,SNG0731,4,2,1,3,3
406,SNG0761,0,4,3,6,6
407,SNG0765,1,3,2,5,6
408,SNG0802,3,4,3,5,5
409,SNG0806,4,1,1,6,7
410,SNG0818,0,2,2,6,6
411,SNG0869,3,1,5,5,5
412,SNG0872,0,4,1,1,5
413,SNG0876,4,2,2,6,6
414,SNG0878,1,4,6,5,6
415,SNG0971,1,2,3,3,3
416,SNG0976,3,1,5,5,5
417,SNG1057,1,3,3,2,3
418,SNG1103,1,4,5,5,5
419,SNG1104,0,1,4,5,5
420,SNG1140,2,3,3,3,4
421,SNG1145,4,2,1,2,4
422,SNG1151,0,0,1,2,3
423,SNG1168,4,3,4,4,5
424,SNG1217,0,3,5,4,5
425,SNG1242,2,1,3,4,4
426,SNG1250,3,2,2,5,5
427,SNG1264,4,0,1,4,4
428,SNG1281,2,3,2,4,4
429,SNG1299,4,1,1,1,1
430,SNG1305,4,1,1,2,2
431,SNG1317,4,1,1,4,4
432,SNG1326,3,1,3,3,3
433,SNG1327,1,4,2,2,2
434,SNG1332,2,0,4,4,4
435,SNG1342,0,3,1,6,6
436,SNG1356,1,2,3,3,5
437,SNG1395,0,0,1,4,4
438,SSNG0005,2,2,1,6,6
439,SSNG0009,3,0,5,5,5
440,SSNG0035,3,0,1,3,7
441,SSNG0048,0,1,1,4,4
442,SSNG0058,4,1,1,4,4
443,SSNG0081,1,1,1,3,4
444,SSNG0082,3,1,4,9,9
445,SSNG0084,4,2,2,7,7
446,SSNG0125,3,0,3,5,5
447,SSNG0144,2,1,1,4,5
448,SSNG0169,2,0,1,2,2
449,SSNG0171,3,3,1,2,2
450,SSNG0175,0,1,5,2,7
451,SSNG0185,1,0,1,3,4
452,SSNG0197,4,4,1,4,4
453,SSNG0229,4,2,4,7,7
454,SSNG0237,2,4,5,5,5
455,SSNG0262,1,1,6,6,7
456,SSNG0274,0,1,3,4,4
457,SSNG0299,3,4,9,2,9
458,SSNG0317,2,0,1,6,6
459,SSNG0348,0,2,4,4,5
460,SSNG0358,0,2,6,5,7
461,SSNG0372,0,0,2,5,8
462,SSNG0374,4,4,1,4,4
463,SSNG0389,2,4,1,3,4
464,SSNG0397,1,3,5,6,8
465,WOZ20000,0,1,1,5,5
466,WOZ20013,3,1,4,4,4
467,WOZ20018,0,1,1,3,3
468,WOZ20046,1,3,2,4,5
469,WOZ20057,3,2,3,3,3
470,WOZ20153,4,3,1,1,3
471,WOZ20169,2,2,4,4,4
472,WOZ20170,1,4,2,2,5
473,WOZ20177,1,4,3,3,3
474,WOZ20189,1,3,2,1,4
475,WOZ20194,2,3,2,4,6
476,WOZ20198,0,3,3,4,4
477,WOZ20206,3,2,2,3,3
478,WOZ20246,2,3,3,3,3
479,WOZ20278,3,1,3,1,4
480,WOZ20288,4,2,1,3,4
481,WOZ20290,3,1,3,3,3
482,WOZ20313,0,1,2,1,2
483,WOZ20319,3,4,3,3,3
484,WOZ20358,0,3,1,2,4
485,WOZ20364,1,2,1,4,4
486,WOZ20377,0,4,1,3,3
487,WOZ20401,2,4,2,1,5
488,WOZ20402,4,0,2,1,5
489,WOZ20410,2,1,4,4,4
490,WOZ20456,2,4,3,3,3
491,WOZ20496,0,3,2,3,4
492,WOZ20519,3,0,3,2,3
493,WOZ20533,0,2,3,3,3
494,WOZ20573,2,4,1,4,4
495,WOZ20587,4,2,1,3,3
496,WOZ20638,2,3,3,1,4
497,WOZ20645,1,1,2,2,2
498,WOZ20648,2,3,3,1,3
499,WOZ20667,0,2,4,4,4
